"EIP-4762 (Statelessness Gas Cost Changes)","Upgrade: The Verge<br>What is it? Ethereum Improvement Proposal introducing gas schedule changes to reflect witness creation costs in stateless validation.<br>Problem it solves: Prevents DoS attacks by properly pricing witness-related operations and state access costs.<br>Current status & challenges: Draft specification requiring hard fork implementation. Challenges include backward compatibility and database restructuring.<br>[Gas cost comparison charts before/after implementation would be helpful]"
"Vector Commitments","Upgrade: The Verge<br>What is it? Cryptographic commitment scheme using elliptic curves, enabling compact proofs (32 bytes) regardless of tree width.<br>Problem it solves: Core component of Verkle trees that reduces proof size dramatically compared to traditional Merkle proofs.<br>Current status & challenges: Fundamental to Verkle trees implementation. Challenges include quantum vulnerability and complex cryptographic implementation.<br>[Commitment scheme diagrams showing proof size scaling would be beneficial]"
"EIP-4444 (History Expiry)","Upgrade: The Purge<br>What is it? Removes historical data storage requirements from nodes, keeping only approximately 365 days of blockchain history.<br>Problem it solves: Reduces node storage requirements and sync times, making it easier to run Ethereum nodes.<br>Current status & challenges: Ready for implementation, requires network protocol version update. Challenge is ensuring distributed storage solution.<br>[Storage requirement reduction charts would illustrate the benefits]"
"State Expiry","Upgrade: The Purge<br>What is it? Automatically expires infrequently accessed state data, using cryptographic proofs to revive expired data when needed.<br>Problem it solves: Prevents unlimited state growth by removing unused data while maintaining ability to access it when required.<br>Current status & challenges: Research phase with complex implementation requirements. Challenge is balancing access patterns with storage efficiency.<br>[State lifecycle and expiry process diagrams would clarify the mechanism]"
"EIP-6780 (SELFDESTRUCT Restriction)","Upgrade: The Purge<br>What is it? Limits the SELFDESTRUCT opcode functionality to reduce protocol complexity and improve security guarantees.<br>Problem it solves: Reduces protocol complexity, adds security guarantees, and enables more efficient storage slot usage.<br>Current status & challenges: Already implemented in Dencun hard fork. Impact includes enabling more storage slots per block.<br>[Before/after opcode behavior diagrams would help understanding]"
"Portal Network","Upgrade: The Purge<br>What is it? Ethereum-native distributed storage network for serving historical blockchain data after history expiry.<br>Problem it solves: Provides decentralized access to historical data without requiring full node storage.<br>Current status & challenges: Development phase as alternative to torrent solutions. Challenges include network bootstrapping and data availability.<br>[Network architecture diagrams showing data distribution would be helpful]"
"SimpleSerialize (SSZ) Migration","Upgrade: The Purge<br>What is it? Moving from RLP to SSZ format for cleaner, more efficient serialization throughout Ethereum protocol.<br>Problem it solves: Provides cleaner, more efficient serialization format with better developer experience and performance.<br>Current status & challenges: Consensus layer complete, execution layer transition planned. Challenge is migration complexity from RLP.<br>[Serialization format comparisons would illustrate the improvements]"
"Single-Slot Finality (SSF)","Upgrade: The Merge<br>What is it? Mechanism to finalize transactions in a single slot (12 seconds) rather than requiring multiple epochs (~15 minutes).<br>Problem it solves: Dramatically reduces transaction confirmation time from 15 minutes to 12 seconds, improving user experience.<br>Current status & challenges: Active research with multiple approaches (Orbit SSF, brute force). Challenge is managing signatures from 500k+ validators.<br>[Timeline comparison of current vs SSF finality would be beneficial]"
"Orbit SSF","Upgrade: The Merge<br>What is it? Committee-based approach to single-slot finality using randomly selected validator committees with rotation.<br>Problem it solves: Reduces validator signature load while maintaining security for single-slot finality.<br>Current status & challenges: Very recent research proposal. Challenge is balancing security, performance, and decentralization.<br>[Committee selection and rotation diagrams would help understanding]"
"Distributed Validator Technology (DVT)","Upgrade: The Merge<br>What is it? Splitting validator duties across multiple entities, creating ""multisig for staking"" functionality.<br>Problem it solves: Reduces single points of failure and centralization risks in validator operations.<br>Current status & challenges: Active development and testing. Challenges include coordination complexity and performance optimization.<br>[Validator architecture and duty distribution diagrams would be helpful]"
"Proof-of-Stake (PoS)","Upgrade: The Merge<br>What is it? Consensus mechanism where validators stake ETH to participate in block validation and earn rewards.<br>Problem it solves: Replaced energy-intensive Proof-of-Work with energy-efficient consensus mechanism.<br>Current status & challenges: Completed September 2022. Ongoing challenges include centralization risks and validator accessibility.<br>[Consensus process flow diagrams would illustrate the mechanism]"
"Beacon Chain","Upgrade: The Merge<br>What is it? Ethereum's proof-of-stake consensus layer that coordinates validators and manages the consensus protocol.<br>Problem it solves: Provides the consensus infrastructure for proof-of-stake Ethereum.<br>Current status & challenges: Launched December 2020, merged with execution layer September 2022. Challenge is ongoing optimization and upgrades.<br>[Beacon chain architecture and validator interaction diagrams would be helpful]"
"EOF (EVM Object Format)","Upgrade: The Splurge<br>What is it? New bytecode format for EVM enabling various optimizations and cleaner contract deployment.<br>Problem it solves: Reduces gas costs for specific operations and enables multidimensional gas within controlled environment.<br>Current status & challenges: Development ongoing with multiple EIPs. Challenge is transition complexity and backward compatibility.<br>[Bytecode structure comparisons would show the improvements]"
"Account Abstraction","Upgrade: The Splurge<br>What is it? Making Ethereum accounts more programmable and flexible, enabling smart contract wallet functionality.<br>Problem it solves: Improves user experience by enabling features like social recovery, gas payment by others, and custom transaction logic.<br>Current status & challenges: ERC-4337 deployed March 2023, EIP-7702 in Pectra upgrade. Challenge is adoption and standardization.<br>[Account types and functionality comparisons would clarify the concept]"
"Quantum Resistance","Upgrade: The Splurge<br>What is it? Preparing Ethereum's cryptographic primitives for protection against quantum computer attacks.<br>Problem it solves: Ensures long-term security of Ethereum against future quantum computing threats.<br>Current status & challenges: Research phase with explicit integration planned across upgrade categories. Challenge is performance vs security trade-offs.<br>[Cryptographic primitive upgrade paths would be beneficial]"
"Precompiles","Upgrade: The Splurge<br>What is it? Native contract implementations for computationally intensive operations, executed outside the EVM.<br>Problem it solves: Provides efficient execution for complex cryptographic operations that would be too expensive in EVM.<br>Current status & challenges: Various precompiles being added/removed. Challenge is balancing functionality with protocol complexity.<br>[Precompile execution flow diagrams would illustrate the concept]"
"Danksharding","Upgrade: The Surge<br>What is it? Full sharding implementation with merged fee market where single proposer selects all transactions and data.<br>Problem it solves: Scales Ethereum to 100,000+ TPS by providing massive data availability for rollups.<br>Current status & challenges: Proto-Danksharding (EIP-4844) completed, full implementation planned. Challenge is maintaining decentralization at scale.<br>[Sharding architecture and data flow diagrams would be essential]"
"KZG Commitments","Upgrade: The Surge<br>What is it? Cryptographic commitments used to prove data availability for blob transactions without revealing all data.<br>Problem it solves: Enables efficient data availability proofs for rollup data in blob transactions.<br>Current status & challenges: Implemented in Dencun upgrade for blob transactions. Challenge is trusted setup requirements.<br>[Commitment and proof verification diagrams would clarify the process]"
"Proposer-Builder Separation (PBS)","Upgrade: The Scourge<br>What is it? Architecture separating block proposal rights from block construction, allowing specialized builders to optimize blocks.<br>Problem it solves: Originally intended to democratize MEV access while keeping validators simple.<br>Current status & challenges: Implemented via MEVBoost, causing centralization. Challenge is enshrining in protocol while maintaining decentralization.<br>[Role separation and responsibility diagrams would be helpful]"
"Light Clients","Upgrade: The Verge<br>What is it? Minimal nodes that can verify blockchain state without downloading full blocks or state data.<br>Problem it solves: Enables verification on resource-constrained devices like mobile phones and IoT devices.<br>Current status & challenges: Supported by sync committees post-Merge. Challenge is reducing proof sizes and verification overhead.<br>[Light client architecture and verification flow would be beneficial]"
"Sync Committees","Upgrade: The Merge<br>What is it? Specialized groups of validators that sign block headers to enable light client verification.<br>Problem it solves: Provides cryptographic proof of chain validity for light clients without requiring full validation.<br>Current status & challenges: Active since Merge, rotated every 27 hours. Challenge is balancing security with efficiency.<br>[Committee selection and signing process diagrams would help]"
"Slashing","Upgrade: The Merge<br>What is it? Penalty mechanism that destroys staked ETH for malicious or incorrect validator behavior.<br>Problem it solves: Provides economic incentive for validators to behave honestly and follow protocol rules.<br>Current status & challenges: Active in proof-of-stake consensus. Challenge is balancing penalties with legitimate mistakes.<br>[Slashing conditions and penalty calculation diagrams would be helpful]"
"Finality","Upgrade: The Merge<br>What is it? Cryptographic guarantee that blocks cannot be altered, achieved through supermajority validator agreement.<br>Problem it solves: Provides certainty that transactions are permanent and cannot be reversed.<br>Current status & challenges: Currently takes ~15 minutes, target is 12 seconds with SSF. Challenge is maintaining security with faster finality.<br>[Finality process and timeline diagrams would illustrate the concept]"
"Casper FFG","Upgrade: The Merge<br>What is it? Finality gadget providing crypto-economic security through penalty mechanisms for incorrect votes.<br>Problem it solves: Ensures finality in proof-of-stake by making it expensive to attack finalized blocks.<br>Current status & challenges: Active component of Ethereum consensus. Challenge is ongoing optimization and potential replacement with SSF.<br>[Voting and penalty mechanism diagrams would be helpful]"
"LMD GHOST","Upgrade: The Merge<br>What is it? Fork choice rule determining which chain is canonical based on latest message-driven greedy heaviest observed subtree.<br>Problem it solves: Provides deterministic chain selection in proof-of-stake environment with potential forks.<br>Current status & challenges: Active fork choice rule post-Merge. Challenge is optimization and potential improvements.<br>[Fork choice decision tree diagrams would illustrate the algorithm]"
"Blob Fee Market","Upgrade: The Surge<br>What is it? Separate pricing mechanism for blob transactions, independent of regular gas fees.<br>Problem it solves: Provides predictable and separate pricing for rollup data availability.<br>Current status & challenges: Active since Dencun upgrade. Challenge is balancing pricing with rollup adoption.<br>[Fee market dynamics and pricing charts would be beneficial]"
"Attestations","Upgrade: The Merge<br>What is it? Validator votes on chain head and finality, providing consensus on the current state of the blockchain.<br>Problem it solves: Enables consensus in proof-of-stake by aggregating validator opinions on chain validity.<br>Current status & challenges: Core component of proof-of-stake consensus. Challenge is scaling with increasing validator count.<br>[Attestation process and aggregation diagrams would help understanding]"
"Inactivity Leak","Upgrade: The Merge<br>What is it? Mechanism that reduces inactive validator balances to recover from situations where >1/3 of validators are offline.<br>Problem it solves: Ensures network can recover and maintain finality even during major validator outages.<br>Current status & challenges: Safety mechanism in proof-of-stake. Challenge is calibrating leak rate for various scenarios.<br>[Inactivity leak scenarios and recovery process would be helpful]"
"Validator Queue","Upgrade: The Merge<br>What is it? System managing validator entries and exits to maintain network stability and prevent rapid stake changes.<br>Problem it solves: Prevents rapid changes in validator set that could destabilize consensus.<br>Current status & challenges: Active with current limits. Challenge is balancing accessibility with stability.<br>[Queue management and processing rate diagrams would illustrate the system]"
"Withdrawal Credentials","Upgrade: The Merge<br>What is it? Cryptographic specification determining where validator rewards and principal can be withdrawn.<br>Problem it solves: Enables secure withdrawal of staked ETH and rewards while maintaining validator security.<br>Current status & challenges: Withdrawals enabled since Shanghai upgrade. Challenge is managing transition to execution layer withdrawals.<br>[Withdrawal process and credential types would be helpful]"
"MEV Smoothing","Upgrade: The Scourge<br>What is it? Mechanism to distribute MEV rewards more evenly across validators rather than concentrating in block proposers.<br>Problem it solves: Reduces income volatility and centralization incentives from uneven MEV distribution.<br>Current status & challenges: Proposed solution under research. Challenge is implementation complexity and economic modeling.<br>[MEV distribution before/after smoothing would illustrate the concept]"
"Execution Tickets","Upgrade: The Scourge<br>What is it? Market mechanism for trading future block proposal rights, separating staking from block production.<br>Problem it solves: Enables specialization in block production while maintaining decentralized staking.<br>Current status & challenges: Theoretical proposal under research. Challenge is maintaining security while enabling markets.<br>[Ticket trading and execution process diagrams would be helpful]"

Front;Back
Verkle trees;Upgrade: The Verge<br>What is it? A vector-commitment data structure that generalizes Merkle trees but stores many more child pointers per node, allowing proofs to stay small and verification fast[1].<br>Problem it solves: Enables “stateless” clients by letting witnesses shrink from ~500 kB to ~150 bytes, slashing bandwidth and storage for validators[1].<br>Current status & challenges: Reference implementations exist; mainnet activation targeted post-EIP-4844 but requires audited libraries and a migration plan from the Merkle-Patricia trie[1].<br>Illustrative image: Side-by-side diagram of a sparse Merkle-Patricia trie versus a compact Verkle tree with KZG commitments[1].
SSZ (Simple Serialize);Upgrade: Consensus & Beyond<br>What is it? A byte-level serialization standard with fixed-length offsets that replace RLP for deterministic hashing and easy Merkleization[1].<br>Problem it solves: Eliminates ambiguity in encoding, reducing consensus bugs and making Merkle proofs trivial to compute[1].<br>Current status & challenges: Already live in the Beacon Chain; work continues on SSZ for execution-layer objects[1].<br>Illustrative image: Flowchart showing SSZ chunks flowing into a Merkle tree root vs RLP blobs[1].
FOCIL;Upgrade: Infrastructure<br>What is it? Proposed “Fork-Choice Interface Layer” that decouples fork-choice logic from clients[1].<br>Problem it solves: Lets researchers test new fork-choice algorithms without touching consensus code[1].<br>Current status & challenges: Research draft, awaiting spec finalization[1].<br>Illustrative image: Layer diagram with execution engine, FOCIL module, and networking stack[1].
Proto-Danksharding (EIP-4844);Upgrade: The Surge<br>What is it? Introduces blob-carrying transactions storing large data chunks separate from call-data[1].<br>Problem it solves: Slashes rollup fees 10-100× by pricing DA separately and pruning after 30 days[1].<br>Current status & challenges: Targeted for Cancun–Deneb hard fork; KZG audits in progress[1].<br>Illustrative image: L2 rollup posting a blob alongside its L1 transaction[1].
Danksharding;Upgrade: The Surge<br>What is it? Final sharding design with 64+ data rows sampled via DAS and single proposer[1].<br>Problem it solves: Increases DA bandwidth >1 MB/s, enabling thousands of rollup TPS[1].<br>Current status & challenges: Research phase on row size and builder proposer workflows[1].<br>Illustrative image: Grid of data rows with random sampling paths illustrating DAS[1].
KZG commitments;Upgrade: The Surge/The Verge<br>What is it? Polynomial commitment scheme using pairings on BLS12-381 to verify blob data succinctly[1].<br>Problem it solves: Enables validators to verify large data blobs with 48-byte proofs[1].<br>Current status & challenges: Cryptographic audits underway; ceremony completed[1].<br>Illustrative image: Math depiction of polynomial evaluation points with commitment and proof[1].
Data availability sampling;Upgrade: The Surge<br>What is it? Light client technique where nodes randomly sample small pieces of blob data to probabilistically confirm full availability[1].<br>Problem it solves: Removes requirement to download entire blobs, allowing cheap validation[1].<br>Current status & challenges: Simulation research continues on sample counts vs adversary strength[1].<br>Illustrative image: Random sampling arrows over a data grid[1].
Rollups;Upgrade: Scaling Ecosystem<br>What is it? Layer 2 chains (optimistic or ZK) that derive security from L1 but process transactions off-chain[1].<br>Problem it solves: Massive TPS increase while keeping decentralization; foundation for Surge economics[1].<br>Current status & challenges: Mainnet ZK-EVMs live; fee reduction hinges on EIP-4844 blobs[1].<br>Illustrative image: Diagram of users → rollup sequencer → compressed batch → Ethereum L1[1].
PBS (Proposer-Builder Separation);Upgrade: The Scourge<br>What is it? Division of labor where specialized builders assemble blocks and proposers just pick the highest-value bid[1].<br>Problem it solves: Mitigates MEV centralization by shifting complexity away from validators[1].<br>Current status & challenges: Enshrined PBS spec drafted; needs cryptoeconomic incentives and censorship-resistance proofs[1].<br>Illustrative image: Flowchart linking builders, relays, and validators with bid arrows[1].
MEV inclusion lists;Upgrade: The Scourge<br>What is it? Lists of user transactions that a proposer must include to avoid censorship[1].<br>Problem it solves: Combats builder censorship and out-of-protocol bribes by forcing baseline fairness[1].<br>Current status & challenges: Open questions around list size limits and griefing vectors[1].<br>Illustrative image: Block template with mandatory inclusion list highlighted in green[1].
MEV Burn;Upgrade: The Scourge<br>What is it? Design where extracted MEV is burned (not paid to validators) to neutralize centralization incentives[1].<br>Problem it solves: Aligns MEV with ETH value, discouraging cartel formation[1].<br>Current status & challenges: Early economic modeling; needs EIP draft and community debate[1].<br>Illustrative image: ETH tokens disappearing into a burn address as MEV is destroyed[1].
Single-slot finality (SSF);Upgrade: Consensus Hardening<br>What is it? Tweaks the beacon chain to finalize blocks in 12 seconds, not 2–15 minutes[1].<br>Problem it solves: Greatly improves UX and reduces MEV re-org risk[1].<br>Current status & challenges: Research on quadratic witness message overhead and honest minority assumptions[1].<br>Illustrative image: Timeline showing current finality vs single-slot finality[1].
Inclusion lists;Upgrade: The Scourge<br>What is it? Mandatory tx list attached to proposer payloads to guarantee censorship resistance (synonym of MEV inclusion lists)[1].<br>Problem it solves: Provides user liveness without external relays[1].<br>Current status & challenges: Needs mechanism to punish non-inclusion without over-penalizing mistakes[1].<br>Illustrative image: Block payload schema with “IL” field[1].
Account abstraction;Upgrade: The Splurge<br>What is it? Moves smart-wallet logic on-chain so externally owned accounts (EOAs) can use custom auth schemes and pay fees in any token[1].<br>Problem it solves: Improves UX (social recovery, sponsor fees) and reduces wallet fragmentation[1].<br>Current status & challenges: ERC-4337 live on mainnet via bundlers; native AA (EIP-3074 / EIP-4337 v2) under debate[1].<br>Illustrative image: User wallet with plugin-style validation modules[1].
ERC-4337;Upgrade: The Splurge<br>What is it? Smart-contract-level AA using a separate mempool and “bundler” relayers[1].<br>Problem it solves: Deploys account abstraction without consensus-layer changes[1].<br>Current status & challenges: Mainnet live; scaling depends on bundler incentives and spam mitigation[1].<br>Illustrative image: Bundler packaging multiple UserOps into a single transaction[1].
Stateless clients;Upgrade: The Verge<br>What is it? Validators that keep no state but receive small witnesses along with each block[1].<br>Problem it solves: Lets hobbyist hardware join consensus and eases network resource requirements[1].<br>Current status & challenges: Requires Verkle tree migration and efficient witness propagation[1].<br>Illustrative image: Raspberry Pi validator receiving a tiny witness blob[1].
Witness (stateless);Upgrade: The Verge<br>What is it? Proof containing the subset of state data needed to verify a given block[1].<br>Problem it solves: Allows stateless nodes to validate blocks without holding full state[1].<br>Current status & challenges: Compression techniques and gossip-layer integration are active R&D[1].<br>Illustrative image: Highlighted nodes in a Verkle tree constituting a witness[1].
EIP-4444;Upgrade: The Purge<br>What is it? Prunes historical beacon & execution data older than one year from ordinary nodes[1].<br>Problem it solves: Saves ~7 TB disk growth over a decade, lowering hardware barriers[1].<br>Current status & challenges: Spec drafted; requires light-client sync and archival node incentives[1].<br>Illustrative image: Chart of disk usage plateauing after purge[1].
History expiry;Upgrade: The Purge<br>What is it? Blanket term for cutting old block bodies and receipts from state[1].<br>Problem it solves: Prevents unbounded disk growth[1].<br>Current status & challenges: Needs consensus on retention horizon and archival network design[1].<br>Illustrative image: Shrinking disk icon versus ever-growing bar[1].
Chain pruning;Upgrade: The Purge<br>What is it? Removal of obsolete trie nodes and legacy receipts from disk[1].<br>Problem it solves: Accelerates sync and lowers storage[1].<br>Current status & challenges: Requires coordinated cut-over to Verkle trees to avoid duplicate efforts[1].<br>Illustrative image: Gardener pruning branches off a tree to signify storage reduction[1].
EVM Object Format (EOF);Upgrade: The Splurge<br>What is it? New binary container for contract bytecode with sections (code, data, metadata) and prohibited self-modifying opcodes[1].<br>Problem it solves: Enables safe code analysis, versioning, and cheaper static jumps[1].<br>Current status & challenges: EOF-v1 merged in Cancun testnets; tooling migration underway[1].<br>Illustrative image: Contract bytecode laid out like an ELF file with headers[1].
EIP-4844;Upgrade: The Surge<br>What is it? Implements Proto-Danksharding (see card 4)[1].<br>Problem it solves: L2 fee reduction via blob space[1].<br>Current status & challenges: Cancun target[1].<br>Illustrative image: Same as Proto-Danksharding card[1].
Surge;Upgrade Family<br>What is it? Roadmap stage focused on scaling data throughput (EIP-4844, DAS)[1].<br>Problem it solves: Rollup costs and TPS bottlenecks[1].<br>Current status & challenges: EIP-4844 imminent, danksharding research ongoing[1].<br>Illustrative image: Roller-coaster ascending to huge TPS numbers[1].
Scourge;Upgrade Family<br>What is it? Stage aimed at neutralizing MEV and ensuring protocol credibly neutral block production[1].<br>Problem it solves: Centralization from MEV relays and builder cartels[1].<br>Current status & challenges: Enshrined PBS design in flux; needs community consensus[1].<br>Illustrative image: Scales balancing user fairness vs builder profits[1].
Purge;Upgrade Family<br>What is it? Stage dedicated to eliminating technical debt and reducing node resource usage (EIP-4444, Verkle witnesses)[1].<br>Problem it solves: Storage bloat and sync slowness[1].<br>Current status & challenges: Dependent on Verge completion[1].<br>Illustrative image: Broom sweeping old blocks into a bin[1].
Splurge;Upgrade Family<br>What is it? Miscellany of “fun” improvements like EOF, AA, precompiles, EVM384[1].<br>Problem it solves: Developer ergonomics and future-proofing[1].<br>Current status & challenges: Many EIPs staged for Cancun and Prague[1].<br>Illustrative image: Confetti burst over a checklist of cool features[1].
The Verge;Upgrade Family<br>What is it? Shift from Merkle-Patricia tries to Verkle trees enabling stateless clients[1].<br>Problem it solves: Node resource reduction[1].<br>Current status & challenges: Requires extensive client refactors and state migration tooling[1].<br>Illustrative image: Bridge from old trie to new Verkle structure[1].
Light clients;Upgrade: Cross-stage<br>What is it? Nodes that track only headers and perform DAS to verify availability[1].<br>Problem it solves: Mobile & browser-based secure verification[1].<br>Current status & challenges: Portal Network research in progress[1].<br>Illustrative image: Smartphone checking block headers via DAS[1].
Weak subjectivity checkpoint;Upgrade: Consensus security<br>What is it? Human-readable header hash periodically published to prevent long-range attacks[1].<br>Problem it solves: Lets new nodes sync safely without reprocessing years of history[1].<br>Current status & challenges: Discussion on social layer coordination and cadence[1].<br>Illustrative image: Calendar marking weekly checkpoint publication[1].
BLS12-381;Upgrade: Cryptography<br>What is it? Pairing-friendly curve used in beacon signatures and KZG[1].<br>Problem it solves: Provides secure aggregate signatures and polynomial commitments[1].<br>Current status & challenges: Widely adopted; hardware acceleration initiatives ongoing[1].<br>Illustrative image: Curve equation y² = x³ + 4 over prime field P with security bits labelled[1].
Halo 2 proving system;Upgrade: ZK Infrastructure<br>What is it? Recursive SNARK framework (PLONKish) without trusted setup for each circuit[1].<br>Problem it solves: Scalable ZK-EVM proofs for L2 compression and DAS sampling proofs[1].<br>Current status & challenges: Used by Zcash; integration into Ethereum rollups under development[1].<br>Illustrative image: Nested proof pyramid illustrating recursion[1].
Poseidon hash;Upgrade: Cryptography<br>What is it? SNARK-friendly permutation-based hash optimized for finite-field arithmetic[1].<br>Problem it solves: Cheaper proofs than SHA-256 or Keccak inside circuits[1].<br>Current status & challenges: Candidate for in-protocol precompile[1].<br>Illustrative image: “S-box + MDS” rounds visualized[1].
ZK-EVM;Upgrade: Layer 2<br>What is it? EVM-compatible ZK-rollup generating validity proofs for each batch[1].<br>Problem it solves: Trustless scaling with fast finality and cheaper exits vs optimistic rollups[1].<br>Current status & challenges: Scroll, Polygon zkEVM, and Linea mainnets live; proving cost optimization continues[1].<br>Illustrative image: Rollup block -> prover -> validity proof -> L1 verify[1].
PBS builder role;Upgrade: The Scourge<br>What is it? Specialized actor constructing full blocks in exchange for MEV bid[1].<br>Problem it solves: Concentrates MEV extraction in transparent market instead of private validator mempools[1].<br>Current status & challenges: Needs anti-collusion and liveness-fallback design[1].<br>Illustrative image: Auction diagram with builders bidding to proposer[1].
Execution-layer sharding;Upgrade: The Surge (alternate research)<br>What is it? Idea of splitting EL transaction processing across shards (largely superseded by danksharding)[1].<br>Problem it solves: Direct EL TPS scaling without L2s, though with higher complexity[1].<br>Current status & challenges: Deprioritized but concept informs rollup-centric roadmap[1].<br>Illustrative image: Multiple transaction queues feeding into mini-EVMs[1].
Layer 2 fee market;Upgrade: Economics<br>What is it? Blob fee mechanism where L1 charges ETH for DA blob space via separate EIP-1559-style curve[1].<br>Problem it solves: Prevents blob spam and balances L1/L2 demand[1].<br>Current status & challenges: Need empirical tuning after EIP-4844 launch[1].<br>Illustrative image: Dual-curve chart (base-fee vs blob-fee)[1].
Fraud proofs;Upgrade: Optimistic rollups<br>What is it? Proof that a rollup state transition was invalid, allowing L1 to revert[1].<br>Problem it solves: Ensures rollup security without heavy L1 computation[1].<br>Current status & challenges: Canonical interactive-fault-proof standardization pending[1].<br>Illustrative image: Binary search dispute game timeline[1].
Validity proofs;Upgrade: ZK rollups<br>What is it? SNARK attesting to correct execution of thousands of txs[1].<br>Problem it solves: No challenge window; immediate finality[1].<br>Current status & challenges: Proof cost and verifier gas optimization ongoing[1].<br>Illustrative image: Circuit diagram with constraints satisfied check-mark[1].
KZG polynomial commitment scheme;Upgrade: Surge/Verge support<br>What is it? Cryptographic primitive allowing succinct commitment to polynomial and evaluation proof[1].<br>Problem it solves: Succinct DA proofs for blobs and Verkle openings[1].<br>Current status & challenges: Multi-party trusted setup completed; library integration underway[1].<br>Illustrative image: Polynomial curve with commitment point and evaluation proof arrow[1].
EIP-6780 SELFDESTRUCT changes;Upgrade: Semantics cleanup (Purge)
What is it? Removes state-clearing semantics of SELFDESTRUCT, turning it into a no-op for storage and balance changes[1].
Problem it solves: Simplifies state accounting and aids Verkle migration[1].
Current status & challenges: Included in Cancun; requires dapp refactors[1].
Illustrative image: Bomb icon crossed out next to contract storage[1].
Precompile upgrades;Upgrade: Splurge
What is it? Adding new cryptographic precompiles (e.g., BLS, Poseidon) for cheaper on-chain crypto[1].
Problem it solves: Lowers gas cost of privacy and ZK apps[1].
Current status & challenges: Benchmarking and security audits in progress[1].
Illustrative image: Toolbox of cryptographic gadgets stamped “precompile”[1].
EIP-1153 Transient Storage;Upgrade: Splurge
What is it? Adds TSTORE/TLOAD opcodes for temporary per-transaction storage that clears at end of txn[1].
Problem it solves: Enables efficient flash-loan style state without long-term bloat[1].
Current status & challenges: Waiting on EOF merge conflicts resolution[1].
Illustrative image: Whiteboard that wipes clean after a single use[1].
EIP-4788 Beacon root in EVM;Upgrade: Consensus/Execution bridging
What is it? Exposes recent beacon chain root to the EVM via a system contract[1].
Problem it solves: Lets staking pools and bridges verify CL data trustlessly[1].
Current status & challenges: Slated for Cancun; gas cost tuning continues[1].
Illustrative image: Execution block querying beacon root via system call[1].
Verkle proof witnesses;Upgrade: Verge
What is it? Serialized payloads containing commitments, branch indices, and KZG proofs for a state access[1].
Problem it solves: Stateless validation bandwidth efficiency[1].
Current status & challenges: Encoding standardization open[1].
Illustrative image: JSON-like witness object annotated[1].
Binary trie vs Verkle;Upgrade: Verge
What is it? Comparison of current hexary Merkle-Patricia trie to upcoming high-fan-out Verkle[1].
Problem it solves: Highlights database compression benefits[1].
Current status & challenges: Migration scripts and re-hashing performance[1].
Illustrative image: Hexary tree vs 256-ary Verkle node side-by-side[1].
Data availability layer separation;Upgrade: Surge
What is it? Idea of outsourcing DA to separate chains (Celestia-style)﻿—Ethereum instead chose in-protocol danksharding[1].
Problem it solves: Untangles execution from DA bottlenecks[1].
Current status & challenges: Still relevant for alt-L1 rollups[1].
Illustrative image: Two-layer stack showing execution vs DA blockchain[1].
Fork-choice rule improvements;Upgrade: Consensus tweaks
What is it? Optimizations to LMD-GHOST and proposer-boost to reduce re-orgs[1].
Problem it solves: Stability during network latency spikes[1].
Current status & challenges: Ongoing academic analysis[1].
Illustrative image: Fork graph converging quicker after tweak[1].
SSZ Merkleization;Upgrade: Verge support
What is it? Deriving Merkle roots over SSZ-serialized containers for light-client proofs[1].
Problem it solves: Efficient inclusion proofs of consensus objects[1].
Current status & challenges: Implemented in CL clients, EL adoption pending[1].
Illustrative image: SSZ container → chunk → Merkle tree arrows[1].
PeerDAS;Upgrade: Surge networking
What is it? P2P sub-protocol for distributing and sampling blobs among validators[1].
Problem it solves: Reduces gossip overhead and ensures DA sampling coverage[1].
Current status & challenges: Spec draft under review[1].
Illustrative image: Mesh network nodes exchanging blob parts[1].
Parallelisation;Upgrade: Execution scalability
What is it? Allowing independent transactions to run concurrently in EL clients by slicing state access sets[1].
Problem it solves: Higher real TPS on single-threaded hardware[1].
Current status & challenges: Prototyped in Reth & Erigon; needs conflict-detection spec[1].
Illustrative image: CPU core chart executing multiple tx threads in parallel[1]
